City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Faanui,PF,2022-04-06 01:40:56,-16.4833,-151.75,82.96,76,8,19.51
68,Sovetskiy,RU,2022-04-06 01:40:56,61.3614,63.5842,18.36,85,46,10.45
69,Cape Town,ZA,2022-04-06 01:38:48,-33.9258,18.4232,58.12,88,40,8.05
70,Pangnirtung,CA,2022-04-06 01:40:56,66.1451,-65.7125,2.95,86,100,4.14
71,Provideniya,RU,2022-04-06 01:40:57,64.3833,-173.3,12.36,62,0,13.42
72,Dingle,PH,2022-04-06 01:40:57,10.9995,122.6711,82.35,75,100,12.44
73,Port Hardy,CA,2022-04-06 01:37:06,50.6996,-127.4199,46.4,76,75,4.61
74,Makurdi,NG,2022-04-06 01:40:57,7.7411,8.5121,81.9,70,100,10.02
75,Qaanaaq,GL,2022-04-06 01:40:58,77.484,-69.3632,10.22,90,100,1.52
76,Georgetown,MY,2022-04-06 01:40:58,5.4112,100.3354,80.53,93,20,3.44
77,Ndele,CF,2022-04-06 01:40:58,8.4109,20.6473,78.3,63,100,7.43
78,Busselton,AU,2022-04-06 01:40:59,-33.65,115.3333,66.31,53,99,7.76
79,Villerupt,FR,2022-04-06 01:40:59,49.4674,5.9329,47.08,89,98,1.99
80,Tiksi,RU,2022-04-06 01:40:59,71.6872,128.8694,-9.45,99,98,3.85
81,Kapaa,US,2022-04-06 01:40:59,22.0752,-159.319,78.78,77,75,13.8
82,Mar Del Plata,AR,2022-04-06 01:40:05,-38.0023,-57.5575,65.08,64,0,13.0
83,Nibbar,TN,2022-04-06 01:41:00,36.2941,8.7666,52.48,88,40,3.44
84,Port Alfred,ZA,2022-04-06 01:41:00,-33.5906,26.891,58.17,85,8,10.78
85,Barrow,US,2022-04-06 01:41:00,71.2906,-156.7887,-12.98,77,0,10.36
86,Bilibino,RU,2022-04-06 01:41:01,68.0546,166.4372,5.97,75,96,3.53
87,Hilo,US,2022-04-06 01:38:31,19.7297,-155.09,78.53,76,100,5.75
88,Northam,GB,2022-04-06 01:40:53,51.0333,-4.2167,50.4,95,100,22.48
89,Vaini,TO,2022-04-06 01:41:01,-21.2,-175.2,80.76,89,40,4.61
90,Dwarka,IN,2022-04-06 01:41:02,22.2394,68.9678,79.38,72,98,13.76
91,Juneau,US,2022-04-06 01:41:02,58.3019,-134.4197,39.22,96,100,4.61
92,Wang Saphung,TH,2022-04-06 01:41:02,17.301,101.7685,80.74,78,66,3.44
93,Gamba,GA,2022-04-06 01:41:02,-2.65,10.0,77.27,93,100,4.72
94,Jamestown,US,2022-04-06 01:41:03,42.097,-79.2353,51.06,50,100,3.0
95,Puerto Ayacucho,VE,2022-04-06 01:42:03,5.6639,-67.6236,74.57,92,100,3.09
96,Mtambile,TZ,2022-04-06 01:42:04,-5.3833,39.7,81.27,73,19,4.92
97,Hithadhoo,MV,2022-04-06 01:42:04,-0.6,73.0833,82.15,68,11,3.29
98,Summerside,CA,2022-04-06 01:37:24,46.3959,-63.7876,30.33,93,8,8.05
99,Jalandhar,IN,2022-04-06 01:42:05,31.3256,75.5792,76.62,11,0,2.01
100,Hobart,AU,2022-04-06 01:42:05,-42.8794,147.3294,61.02,55,75,6.91
101,Jamkhed,IN,2022-04-06 01:38:20,18.7362,75.3121,84.96,27,50,5.21
102,Cherskiy,RU,2022-04-06 01:42:05,68.75,161.3,0.01,87,89,5.28
103,Severo-Kurilsk,RU,2022-04-06 01:42:06,50.6789,156.125,36.5,92,54,3.06
104,Thompson,CA,2022-04-06 01:42:06,55.7435,-97.8558,37.56,56,75,6.91
105,Saskylakh,RU,2022-04-06 01:42:06,71.9167,114.0833,-9.78,95,41,4.52
106,Kruisfontein,ZA,2022-04-06 01:42:07,-34.0033,24.7314,60.89,77,93,11.1
107,Abu Samrah,SY,2022-04-06 01:42:07,35.3029,37.1841,64.44,28,97,5.86
108,Olafsvik,IS,2022-04-06 01:42:07,64.8945,-23.7142,27.34,68,60,27.18
109,Broome,US,2022-04-06 01:42:08,42.2506,-75.833,54.37,50,0,10.36
110,Lluta,PE,2022-04-06 01:42:08,-16.0147,-72.0142,53.49,70,71,2.24
111,Volga,RU,2022-04-06 01:42:08,57.9516,38.3879,32.34,98,100,11.9
112,Correntina,BR,2022-04-06 01:42:09,-13.3433,-44.6367,70.97,55,0,3.33
113,Albany,US,2022-04-06 01:39:06,42.6001,-73.9662,50.65,58,100,7.09
114,East London,ZA,2022-04-06 01:42:09,-33.0153,27.9116,65.26,68,50,10.69
115,Dikson,RU,2022-04-06 01:42:09,73.5069,80.5464,-0.18,80,14,19.24
116,Khorramshahr,IR,2022-04-06 01:42:10,30.4397,48.1664,71.56,35,0,4.61
117,Zyryanka,RU,2022-04-06 01:42:10,65.75,150.85,2.57,75,90,2.98
118,Chapais,CA,2022-04-06 01:42:10,49.7834,-74.8492,26.38,89,12,4.56
119,Enshi,CN,2022-04-06 01:42:11,30.3,109.4833,66.29,63,99,0.67
120,Beringovskiy,RU,2022-04-06 01:42:11,63.05,179.3167,8.76,68,1,2.62
121,Zhigansk,RU,2022-04-06 01:42:11,66.7697,123.3711,-0.15,87,66,12.71
122,Esperance,AU,2022-04-06 01:42:12,-33.8667,121.9,66.04,62,85,8.95
123,Saint Anthony,US,2022-04-06 01:42:12,45.0205,-93.218,45.48,93,100,14.97
124,Mount Isa,AU,2022-04-06 01:42:12,-20.7333,139.5,89.37,11,0,10.36
125,Keningau,MY,2022-04-06 01:42:13,5.3378,116.1602,83.19,66,97,1.54
126,Hofn,IS,2022-04-06 01:42:13,64.2539,-15.2082,31.15,62,23,20.6
127,Katsuura,JP,2022-04-06 01:37:50,35.1333,140.3,62.58,62,100,14.58
128,Atuona,PF,2022-04-06 01:42:13,-9.8,-139.0333,79.34,74,1,22.26
129,Roald,NO,2022-04-06 01:42:14,62.5833,6.1333,33.33,93,82,5.75
130,Moron,AR,2022-04-06 01:42:14,-34.6534,-58.6198,64.96,64,0,5.64
131,Berlevag,NO,2022-04-06 01:42:14,70.8578,29.0864,30.0,87,100,28.77
132,Pacific Grove,US,2022-04-06 01:40:00,36.6177,-121.9166,67.37,70,0,8.05
133,Bay Roberts,CA,2022-04-06 01:40:51,47.5999,-53.2648,34.52,83,100,11.99
134,Cabo San Lucas,MX,2022-04-06 01:37:37,22.8909,-109.9124,72.7,68,0,10.36
135,Castro,BR,2022-04-06 01:42:15,-24.7911,-50.0119,63.18,99,46,5.46
136,Chernyshevskiy,RU,2022-04-06 01:42:15,63.0128,112.4714,14.86,91,98,2.77
137,Mogzon,RU,2022-04-06 01:42:16,51.7435,111.9606,24.42,76,100,2.06
138,Kabare,CD,2022-04-06 01:42:16,-2.4683,28.8242,63.0,89,100,0.51
139,Ponta Do Sol,PT,2022-04-06 01:42:16,32.6667,-17.1,59.63,58,41,7.56
140,Shingu,JP,2022-04-06 01:43:16,33.7333,135.9833,66.54,45,100,2.98
141,High Level,CA,2022-04-06 01:43:17,58.5169,-117.136,44.71,39,40,5.75
142,Asau,RO,2022-04-06 01:43:17,46.4333,26.4,40.28,77,100,7.14
143,Meulaboh,ID,2022-04-06 01:43:17,4.1363,96.1285,80.19,77,99,2.64
144,Anloga,GH,2022-04-06 01:43:18,5.7947,0.8973,82.04,83,84,9.89
145,Vanimo,PG,2022-04-06 01:43:18,-2.6741,141.3028,86.47,66,100,5.97
146,Norman Wells,CA,2022-04-06 01:43:18,65.282,-126.8329,17.64,41,20,6.91
147,Verkhnyaya Inta,RU,2022-04-06 01:43:19,65.9811,60.3094,5.79,97,100,13.56
148,Peniche,PT,2022-04-06 01:39:54,39.3558,-9.3811,50.56,85,84,0.16
149,Guimar,ES,2022-04-06 01:43:19,28.3039,-16.4325,57.76,76,31,6.6
150,San Patricio,US,2022-04-06 01:41:21,28.017,-97.5169,78.75,89,35,17.65
151,Martinez,US,2022-04-06 01:43:19,38.0194,-122.1341,74.7,45,0,8.05
152,Kharan,PK,2022-04-06 01:43:20,28.5833,65.4167,73.83,15,100,3.13
153,Tynne,UA,2022-04-06 01:43:20,50.6015,26.1849,37.31,96,100,10.25
