City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Victoria,22.2855,114.1577,74.32,77,28,17.0,HK,scattered clouds
80,Qaanaaq,77.484,-69.3632,-1.53,94,100,2.3,GL,overcast clouds
81,Sedam,17.1773,77.2824,92.88,28,100,13.18,IN,overcast clouds
82,Mahebourg,-20.4081,57.7,76.24,79,19,18.99,MU,light rain
83,Grand-Bourg,15.8835,-61.3148,85.95,74,5,15.66,GP,clear sky
84,Zaysan,47.4667,84.8667,46.92,21,0,1.81,KZ,clear sky
85,Chaadayevka,53.1427,45.9122,46.58,57,38,10.29,RU,scattered clouds
86,Boende,-0.2167,20.8667,76.41,90,98,2.21,CD,light rain
87,Abu Dhabi,24.4667,54.3667,84.96,65,71,3.0,AE,broken clouds
88,Barrhead,55.7992,-4.3929,60.03,70,100,10.36,GB,overcast clouds
89,Belinskiy,52.9647,43.4165,49.33,55,92,10.04,RU,overcast clouds
90,Saint George,37.1041,-113.5841,58.78,25,0,1.01,US,clear sky
91,Klaksvik,62.2266,-6.589,49.12,99,100,14.58,FO,overcast clouds
92,Grand Gaube,-20.0064,57.6608,76.37,84,4,5.99,MU,clear sky
93,Port Elizabeth,-33.918,25.5701,63.1,56,96,5.01,ZA,overcast clouds
94,Megion,61.0296,76.1136,51.82,100,100,10.56,RU,overcast clouds
95,Oldham,53.5405,-2.1183,66.38,58,64,4.0,GB,broken clouds
96,Husavik,66.0449,-17.3389,48.54,66,99,14.25,IS,overcast clouds
97,Margate,51.3813,1.3862,65.1,82,100,1.01,GB,overcast clouds
98,Dikson,73.5069,80.5464,22.6,95,100,15.59,RU,snow
99,Hithadhoo,-0.6,73.0833,84.02,65,10,3.04,MV,clear sky
100,Maungaturoto,-36.1,174.3667,52.66,89,87,3.15,NZ,overcast clouds
101,Souillac,-20.5167,57.5167,76.53,81,25,17.05,MU,light rain
102,Sechura,-5.5569,-80.8222,75.09,62,13,15.1,PE,few clouds
103,Balykshi,47.0667,51.8667,57.2,62,0,15.66,KZ,clear sky
104,Arraial Do Cabo,-22.9661,-42.0278,76.86,57,75,24.16,BR,broken clouds
105,Formosa,-26.1775,-58.1781,69.78,43,0,11.5,AR,clear sky
106,Thompson,55.7435,-97.8558,14.63,68,100,13.42,CA,overcast clouds
107,Zharkent,44.1628,80.0,66.65,18,0,7.4,KZ,clear sky
108,Adrar,20.5022,-10.0711,94.98,8,0,4.12,MR,clear sky
109,Mayo,38.8876,-76.5119,68.67,25,0,5.01,US,clear sky
110,Garca,-22.2106,-49.6561,69.67,63,2,7.96,BR,clear sky
111,Port Alfred,-33.5906,26.891,63.18,82,100,3.0,ZA,overcast clouds
112,Talnakh,69.4865,88.3972,32.65,99,100,11.03,RU,snow
113,Hirara,24.8,125.2833,71.85,79,100,27.11,JP,overcast clouds
114,San Andres,12.5847,-81.7006,84.22,70,40,13.8,CO,scattered clouds
115,Saint-Augustin,51.226,-58.6502,32.45,97,100,6.67,CA,overcast clouds
116,Santa Fe,-31.6333,-60.7,71.02,49,0,4.0,AR,light rain
117,Touros,-5.1989,-35.4608,87.98,59,58,10.65,BR,broken clouds
118,Coihaique,-45.5752,-72.0662,53.53,82,98,8.59,CL,overcast clouds
119,Kununurra,-15.7667,128.7333,78.78,89,68,0.0,AU,broken clouds
120,Dingle,10.9995,122.6711,76.57,91,72,1.28,PH,broken clouds
121,Tezu,27.9167,96.1667,67.55,93,91,7.11,IN,overcast clouds
122,Ukiah,39.1502,-123.2078,42.44,93,100,0.0,US,overcast clouds
123,Saint-Georges,12.0564,-61.7485,83.88,74,20,24.16,GD,few clouds
124,Punta Arenas,-53.15,-70.9167,50.11,93,75,11.5,CL,broken clouds
125,Sibolga,1.7427,98.7792,79.02,86,99,2.17,ID,heavy intensity rain
126,Deputatskiy,69.3,139.9,-0.81,86,100,3.11,RU,overcast clouds
127,Fortuna,40.5982,-124.1573,37.74,96,100,6.91,US,overcast clouds
128,Bengkulu,-3.8004,102.2655,78.42,85,100,3.62,ID,overcast clouds
129,Provideniya,64.3833,-173.3,30.16,94,100,17.43,RU,snow
130,Barrow,71.2906,-156.7887,-5.78,77,0,20.71,US,clear sky
131,Chapais,49.7834,-74.8492,35.38,65,84,13.22,CA,broken clouds
132,Fukue,32.6881,128.8419,56.28,68,92,24.34,JP,overcast clouds
133,Hervey Bay,-25.2986,152.8535,70.45,68,100,14.76,AU,light rain
134,Bilma,18.6853,12.9164,105.62,5,92,17.52,NE,overcast clouds
135,Avarua,-21.2078,-159.775,77.05,88,20,2.3,CK,few clouds
136,Cockburn Town,21.4612,-71.1419,78.76,78,40,20.71,TC,scattered clouds
137,Leningradskiy,69.3833,178.4167,14.04,95,100,9.15,RU,overcast clouds
138,Xai-Xai,-25.0519,33.6442,80.24,80,46,12.95,MZ,light rain
139,Altagracia De Orituco,9.8601,-66.3814,88.09,42,73,7.58,VE,broken clouds
140,Mecca,21.4267,39.8261,93.02,25,38,12.39,SA,scattered clouds
141,Tiksi,71.6872,128.8694,-3.98,100,100,5.57,RU,overcast clouds
142,Saint Anthony,45.0205,-93.218,26.35,56,0,20.71,US,clear sky
143,Port Blair,11.6667,92.75,82.87,69,2,4.36,IN,clear sky
144,Sangar,63.9242,127.4739,12.85,93,99,2.39,RU,overcast clouds
145,Mildura,-34.2,142.15,62.56,55,15,2.3,AU,few clouds
146,Amapa,1.0,-52.0,78.66,88,100,4.81,BR,overcast clouds
147,Khash,28.2211,61.2158,83.73,12,69,15.61,IR,broken clouds
148,Tucuma,-0.1833,-50.05,81.48,80,98,7.05,BR,overcast clouds
149,Kaitangata,-46.2817,169.8464,52.34,69,100,7.54,NZ,overcast clouds
150,Seoul,37.5683,126.9778,51.24,45,52,4.03,KR,broken clouds
151,Mount Isa,-20.7333,139.5,71.37,43,50,0.0,AU,scattered clouds
152,Chuy,-33.6971,-53.4616,69.01,55,78,10.51,UY,broken clouds
153,Labuhan,-6.8844,112.2051,80.78,77,80,3.42,ID,broken clouds
154,Nome,64.5011,-165.4064,38.1,65,100,20.71,US,overcast clouds
155,Sjenica,43.2731,19.9994,65.01,37,16,2.95,RS,few clouds
