City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Nicolas Bravo,MX,80.08,broken clouds,18.45,-88.9167,
220,Catole Do Rocha,BR,89.69,few clouds,-6.3439,-37.7467,"Berço da Civilização Ocidental, da Filosofia, Dramturgia e da Democracia. Epicentro da Terra, Origem de Toda a Cultura Asteca, Inca, Maia, Pigmeu"
222,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
227,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
232,Edeia,BR,82.29,broken clouds,-17.3383,-49.9314,Hotel Imperial Edeia
235,Alamos,MX,76.41,overcast clouds,27.0167,-108.9333,Luz del Sol
236,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
237,Vanimo,PG,79.56,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
244,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
245,Soanierana Ivongo,MG,76.6,light rain,-16.9167,49.5833,Hôtel Escale
250,Hit,IQ,77.07,clear sky,33.6416,42.8251,بيت ابو رباح
251,Lumphat,KH,76.68,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
255,Dzaoudzi,YT,85.89,few clouds,-12.7887,45.2699,Le Rocher
256,Pundaguitan,PH,81.9,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
259,Galle,LK,81.99,clear sky,6.0367,80.217,Amangalla
261,Katobu,ID,76.12,scattered clouds,-4.9408,122.5276,La Ode Husein
262,San Patricio,US,77.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
263,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
264,Lere,NG,87.48,light rain,10.387,8.5726,
268,Bam,IR,87.19,overcast clouds,29.106,58.357,Bam Tourist Hotel
269,Braganca,BR,80.28,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
